tramo,id_monumento,clave_de_excavacion,analizador,fecha_analisis,materia_prima_mon,tecnologia_mon,industria_mon,tipo_tecnologico_mon,c_bolsas_mon,lascas_mon
"2",T2_07237,T2_07237_221_0005651,Victor Oseguera,2023/02/04,Sílex,Tallada,"Unifaciales,bifaciales y percusión casual","Lasca de reavivamiento de filo sobre hacha tallada,lasca casual y lasca de adelgazar","1","4"
"2",T2_07244,T2_07244_256_0001838,Victor Oseguera,2023/02/04,Sílex y caliza,Tallada y no identificada,Percusión casual y no identificado,Lasca casual y ecofacto,"2","2"
"2",T2_07245,T2_07245_204_0003296,Victor Oseguera,2023/02/07,Sílex y caliza,"Tallada,no identificada,pulida y no identificada","Percusión casual,unifaciales,bifaciales,no identificada,no identificado y molienda","Lasca casual,lasca de adelgazar,lasca de descortezamiento parcial,lasca de adelgazamiento y descortezamiento parcial,no identificado,lasca de fragmentación de cincel,desprendimiento térmico,lasca casual sobre bifacial,mano de metate y ecofacto","15","23"
"2",T2_07219,T2_07219_223_0003583,Victor Oseguera,2023/02/07,Sílex y caliza,Tallada,Percusión casual y no identificada,Lasca casual y no identificado,"1","2"
"2",T2_07250,T2_07250_224_0006343,Victor Oseguera,2023/02/07,"Sílex,caliza y sílex","Tallada,no identificada,herramientas,pulida y no identificada","Percusión casual,no identificado,unifaciales,bifaciales,percutor,no identificada,navajas,utilitaria y molienda","Lasca casual,desprendimiento térmico,lasca de adelgazar,lasca de descortezamiento parcial,lasca de reavivamiento de filo sobre hacha tallada,percutor reutilizado,fragmento,nódulo con desprendimientos térmicos,cincel,macrolasca descortezamiento parcial,lasca de reavivamiento de filo sobre hacha pulida,bifacial,lasca casual unidireccional,esbozo bifacial sobre lasca,raedera sobre lasca,no identificado,raspador sobre lasca,lasca casual sobre bifacial,percutor natural,lascas de presión,navaja de descortezamiento parcial,navaja,lasca de fragmentación de cincel,lasca de fragmentación de percutor natural,pulidor,lasca de adelgazamiento y descortezamiento parcial,mano de metate y ecofacto","55","115"
"2",T2_07218,T2_07218_201_0000018,Victor Oseguera,2023/02/08,Sílex y caliza,"Herramientas,no identificada,tallada y no identificada","Percutor,no identificado,percusión casual y no identificada","Lasca de fragmentación de percutor natural,ecofacto,lasca casual,buril raedera (bifuncional) sobre lasca,no identificado y lasca de descortezamiento parcial","10","10"
"2",T2_07253,T2_07253_204_0003495,Victor Oseguera,2023/02/10,Sílex,Tallada,"No identificada,percusión casual, unifaciales, bifaciales","No identificado,lasca casual,lascas de presión,lasca casual sobre bifacial y lasca de reavivamiento de filo sobre hacha tallada","3","6"
"2",T2_07054,T2_07054_234_0003018,Victor Oseguera,2023/02/10,"Sílex,caliza y sílex","Tallada,herramientas,no identificada,pulida y no identificada","Unifaciales,bifaciales,no identificada,percusión casual,percutor,no identificado,navajas y utilitaria","Bifacial,no identificado,lasca de descortezamiento parcial,lasca casual,raedera sobre lasca casual de descortezamiento parcial,lasca de fragmentación de percutor natural,hacha,nódulo con desprendimientos térmicos,desprendimiento térmico,lasca de adelgazar,lasca casual sobre bifacial,lasca de reavivamiento de filo sobre hacha pulida,lasca de fragmentación de percutor reutilizado,fragmento,cincel,lasca casual sobre cincel bifacial,macrolasca descortezamiento parcial,lasca casual unidireccional y descortezamiento parcial,raedera sobre nódulo,lasca de adelgazamiento y descortezamiento parcial,lasca de reavivamiento de filo sobre hacha tallada,lasca casual unidireccional,raspador sobre lasca de descortezamiento parcial,navaja,machacador,ecofacto y pesa de pesca","37","115"
"2",T2_07055,T2_07055_207_0001183,Victor Oseguera,2023/02/13,"Sílex,obsidiana y caliza","Tallada,no identificada y pulida","Unifaciales,bifaciales,percusión casual,no identificada,no identificado,navajas prismáticas y molienda","Bifacial,lasca casual unidireccional,no identificado,punta de proyectil,raedera sobre lasca,lasca de descortezamiento parcial,desprendimiento térmico,lasca casual,lasca de adelgazar,fragmento,navaja prismática,hacha y mano de metate","12","17"
"2",T2_07161,T2_07161_259_0000012,Victor Oseguera,2023/02/15,"Sílex,fósil,caliza y cuarcita","Tallada,no identificada,herramientas y pulida","Percusión casual,no identificado,unifaciales,bifaciales,no identificada,percutor,navajas y utilitaria","Raedera sobre lasca casual de descortezamiento parcial,lasca casual,desprendimiento térmico,fragmento,lasca de descortezamiento parcial,lasca casual unidireccional,lasca de adelgazar,no identificado,percutor natural,lasca casual unidireccional y descortezamiento parcial,navaja,lasca de adelgazamiento y descortezamiento parcial,cincel pulido,cincel,bifacial,raspador sobre lasca de descortezamiento parcial,lasca casual sobre bifacial y ecofacto","10","65"
"2",T2_07258,T2_07258_246_0002868,Victor Oseguera,2023/02/16,"Sílex,obsidiana y caliza",Tallada y pulida,"Unifaciales,bifaciales,navajas prismáticas,no identificada,percusión casual y molienda","Lasca de reavivamiento de filo sobre hacha pulida,lasca de adelgazar,navaja prismática,no identificado,lasca de reavivamiento de filo sobre hacha tallada,lasca casual unidireccional,lasca casual,raedera sobre lasca,lasca casual sobre bifacial,lasca de descortezamiento parcial,cincel y soporte","16","17"
"2",T2_10020,T2_10020_236_0001817,Victor Oseguera,2023/02/17,"Sílex,caliza y obsidiana","Tallada,no identificada,pulida y herramientas","Percusión casual,unifaciales,bifaciales,no identificado,no identificada,utilitaria,navajas,percutor,navajas prismáticas y molienda","Lasca casual unidireccional,esbozo bifacial,lasca de reavivamiento de filo sobre hacha tallada,lasca casual,lasca de adelgazar,lasca de descortezamiento parcial,fragmento,no identificado,nódulo con desprendimientos térmicos,raspador sobre lasca,hacha pulida,navaja,desprendimiento térmico,cincel,lasca de adelgazamiento y descortezamiento parcial,ecofacto,bifacial,percutor reutilizado,lasca sobre artefacto pulido no identificado,lasca de  corrección lateral de núcleo,lasca de reavivamiento de filo sobre hacha pulida,lasca casual unidireccional y descortezamiento parcial,lasca casual sobre bifacial,lascas de presión,macrolasca descortezamiento parcial,hacha,raedera sobre lasca,lasca de fragmentación de percutor natural,navaja de descortezamiento parcial,raspador raedera (bifuncional) sobre lasca de adelgazamiento,navaja prismática,lasca de descortezamiento total,núcleo casual unidireccional,lasca de fragmentación de percutor reutilizado y mano de metate","60","345"
"2",T2_07034,T2_07034_221_0002253,Victor Oseguera,2023/02/23,Sílex y caliza,Tallada y no identificada,"Percusión casual,unifaciales,bifaciales y no identificado","Lasca de descortezamiento parcial,lasca de adelgazar,lasca casual,lasca de adelgazamiento y descortezamiento parcial y ecofacto","5","9"
"2",T3_11360,T3_11360_246_0002098,Victor Oseguera,2023/02/24,Sílex y caliza,Tallada y no identificada,"Percusión casual,no identificada,unifaciales,bifaciales y no identificado","Lasca de descortezamiento parcial,lasca casual,no identificado,lasca de adelgazar y fragmento","1","7"
"2",T2_16039,T2_16039_236_0001022,Victor Oseguera,2023/02/24,Caliza y sílex,Tallada y pulida,"Percusión casual,unifaciales,bifaciales y esculturas","Lasca casual,bifacial y antropomorfa","2","4"
"2",T2_16085,T2_16085_224_0005761,Victor Oseguera,2023/02/24,Sílex y obsidiana,"Tallada,no identificada,no identificada y herramientas","Percusión casual,unifaciales,bifaciales,no identificado,no identificada,percutor,navajas y navajas prismáticas","Raedera sobre lasca,bifacial,lasca de adelgazar,lasca de descortezamiento parcial,desprendimiento térmico,lasca de adelgazamiento y descortezamiento parcial,lasca casual,lasca casual unidireccional y descortezamiento parcial,raspador raedera (bifuncional) sobre lasca,no identificado,fragmento,lasca casual sobre bifacial,raspador sobre lasca de descortezamiento parcial,lasca de fragmentación de percutor natural,unifacial,lasca de reavivamiento de filo sobre hacha pulida,navaja,percutor natural,lasca de reavivamiento de filo sobre hacha tallada,ecofacto,navaja prismática,lasca de fragmentación de percutor reutilizado y buril sobre lasca casual ","36","306"
"2",T2_04306,T2_04306_263_0000019,Vïctor Oseguera,2023/03/23,Sílex y caliza,"Tallada,no identificada y herramientas","Unifaciales,bifaciales,percusión casual,no identificado y percutor","Lasca de adelgazar,raedera sobre lasca casual de descortezamiento parcial,lasca de descortezamiento parcial,ecofacto,lasca de reavivamiento de filo sobre hacha tallada,lasca de adelgazamiento y descortezamiento parcial,lasca casual,lasca de fragmentación de percutor natural,lasca casual unidireccional y desprendimiento térmico","12","26"
"2",T2_04311,T2_04311_263_0001376,Vïctor Oseguera,2023/03/24,Sílex,Tallada y no identificada,"Percusión casual,unifaciales,bifaciales y no identificado","Lasca casual,lasca de adelgazamiento y descortezamiento parcial,lasca de adelgazar,fragmento y lasca de descortezamiento parcial","8","17"
"2",T2_04315,T2_04315_262_0000689,Vïctor Oseguera,2023/03/24,"Sílex,obsidiana y caliza","Tallada,no identificada,herramientas y pulida","Percusión casual,navajas prismáticas,no identificado,percutor,unifaciales,bifaciales y no identificada","Lasca casual,navaja prismática,raedera sobre lasca,fragmento,núcleo casual unidireccional,lasca de fragmentación de percutor natural,desprendimiento térmico,lasca de descortezamiento parcial,lasca de adelgazar,tajador,bifacial,raedera sobre lasca casual de descortezamiento parcial,lasca de adelgazamiento y descortezamiento parcial,lasca casual sobre bifacial,buril sobre lasca casual ,nódulo con desprendimientos térmicos y no identificado","12","60"
"2",T2_07264,T2_07264_263_0000767,Vïctor Oseguera,2023/03/27,Sílex,Tallada y no identificada,"Unifaciales,bifaciales,percusión casual,no identificado y no identificada","Lasca de adelgazamiento y descortezamiento parcial,lasca casual,fragmento,desprendimiento térmico,lasca de descortezamiento parcial,lasca de adelgazar,no identificado y raedera sobre lasca","12","33"
"2",T2_07265,T2_07265_262_0000244,Vïctor Oseguera,2023/03/28,Sílex,"Tallada,no identificada y ","Unifaciales,bifaciales,percusión casual,no identificado,navajas y ","Lasca de adelgazar,lasca casual,lasca de adelgazamiento y descortezamiento parcial,nódulo con desprendimientos térmicos,navaja,lasca de descortezamiento parcial,fragmento,raedera sobre lasca casual de descortezamiento parcial,ecofacto,desprendimiento térmico y ","11","38"
